legacy_token	genuine_meos_symbol	regular_token	outcome
TEMPORAL_ADISJOINT_TCBUFFER_CBUFFER	adisjoint_tcbuffer_cbuffer	ADISJOINT_TCBUFFER_CBUFFER	RENAME
TEMPORAL_ADISJOINT_TCBUFFER_TCBUFFER	adisjoint_tcbuffer_tcbuffer	ADISJOINT_TCBUFFER_TCBUFFER	RENAME
TEMPORAL_ADISJOINT_TGEOMETRY	adisjoint_tgeo_tgeo	ADISJOINT_TGEO_TGEO	COLLAPSE_PROMOTE
TEMPORAL_ADISJOINT_TNPOINT_GEOMETRY	adisjoint_tgeo_geo	ADISJOINT_TGEO_GEO	COLLAPSE_REMOVE
TEMPORAL_ADISJOINT_TNPOINT_TNPOINT	adisjoint_tgeo_tgeo	ADISJOINT_TGEO_TGEO	COLLAPSE_REMOVE
TEMPORAL_ADISJOINT_TPOSE_GEOMETRY	adisjoint_tgeo_geo	ADISJOINT_TGEO_GEO	COLLAPSE_REMOVE
TEMPORAL_ADISJOINT_TPOSE_TPOSE	adisjoint_tgeo_tgeo	ADISJOINT_TGEO_TGEO	COLLAPSE_REMOVE
TEMPORAL_ADWITHIN_GEOMETRY	adwithin_tgeo_geo	ADWITHIN_TGEO_GEO	COLLAPSE_PROMOTE
TEMPORAL_ADWITHIN_TCBUFFER_CBUFFER	adwithin_tcbuffer_cbuffer	ADWITHIN_TCBUFFER_CBUFFER	RENAME
TEMPORAL_ADWITHIN_TCBUFFER_GEOMETRY	adwithin_tcbuffer_geo	ADWITHIN_TCBUFFER_GEO	RENAME
TEMPORAL_ADWITHIN_TCBUFFER_TCBUFFER	adwithin_tcbuffer_tcbuffer	ADWITHIN_TCBUFFER_TCBUFFER	RENAME
TEMPORAL_ADWITHIN_TGEOMETRY	adwithin_tgeo_tgeo	ADWITHIN_TGEO_TGEO	COLLAPSE_PROMOTE
TEMPORAL_ADWITHIN_TNPOINT_GEOMETRY	adwithin_tgeo_geo	ADWITHIN_TGEO_GEO	COLLAPSE_REMOVE
TEMPORAL_ADWITHIN_TNPOINT_TNPOINT	adwithin_tgeo_tgeo	ADWITHIN_TGEO_TGEO	COLLAPSE_REMOVE
TEMPORAL_ADWITHIN_TPOSE_GEOMETRY	adwithin_tgeo_geo	ADWITHIN_TGEO_GEO	COLLAPSE_REMOVE
TEMPORAL_ADWITHIN_TPOSE_TPOSE	adwithin_tgeo_tgeo	ADWITHIN_TGEO_TGEO	COLLAPSE_REMOVE
TEMPORAL_AINTERSECTS_GEOMETRY	aintersects_tgeo_geo	AINTERSECTS_TGEO_GEO	COLLAPSE_PROMOTE
TEMPORAL_AINTERSECTS_TCBUFFER	aintersects_tcbuffer_geo	AINTERSECTS_TCBUFFER_GEO	RENAME
TEMPORAL_AINTERSECTS_TCBUFFER_CBUFFER	aintersects_tcbuffer_cbuffer	AINTERSECTS_TCBUFFER_CBUFFER	RENAME
TEMPORAL_AINTERSECTS_TCBUFFER_TCBUFFER	aintersects_tcbuffer_tcbuffer	AINTERSECTS_TCBUFFER_TCBUFFER	RENAME
TEMPORAL_AINTERSECTS_TGEOMETRY	aintersects_tgeo_tgeo	AINTERSECTS_TGEO_TGEO	COLLAPSE_PROMOTE
TEMPORAL_AINTERSECTS_TNPOINT_GEOMETRY	aintersects_tgeo_geo	AINTERSECTS_TGEO_GEO	COLLAPSE_REMOVE
TEMPORAL_AINTERSECTS_TNPOINT_TNPOINT	aintersects_tgeo_tgeo	AINTERSECTS_TGEO_TGEO	COLLAPSE_REMOVE
TEMPORAL_AINTERSECTS_TPOSE_GEOMETRY	aintersects_tgeo_geo	AINTERSECTS_TGEO_GEO	COLLAPSE_REMOVE
TEMPORAL_AINTERSECTS_TPOSE_TPOSE	aintersects_tgeo_tgeo	AINTERSECTS_TGEO_TGEO	COLLAPSE_REMOVE
TEMPORAL_ATOUCHES_GEOMETRY	atouches_tgeo_geo	ATOUCHES_TGEO_GEO	COLLAPSE_PROMOTE
TEMPORAL_ATOUCHES_TCBUFFER	atouches_tcbuffer_geo	ATOUCHES_TCBUFFER_GEO	RENAME
TEMPORAL_ATOUCHES_TCBUFFER_CBUFFER	atouches_tcbuffer_cbuffer	ATOUCHES_TCBUFFER_CBUFFER	RENAME
TEMPORAL_ATOUCHES_TCBUFFER_TCBUFFER	atouches_tcbuffer_tcbuffer	ATOUCHES_TCBUFFER_TCBUFFER	RENAME
TEMPORAL_ATOUCHES_TGEOMETRY	atouches_tgeo_tgeo	ATOUCHES_TGEO_TGEO	COLLAPSE_PROMOTE
TEMPORAL_ATOUCHES_TNPOINT_GEOMETRY	atouches_tgeo_geo	ATOUCHES_TGEO_GEO	COLLAPSE_REMOVE
TEMPORAL_ATOUCHES_TNPOINT_TNPOINT	atouches_tgeo_tgeo	ATOUCHES_TGEO_TGEO	COLLAPSE_REMOVE
TEMPORAL_ATOUCHES_TPOSE_GEOMETRY	atouches_tgeo_geo	ATOUCHES_TGEO_GEO	COLLAPSE_REMOVE
TEMPORAL_ATOUCHES_TPOSE_TPOSE	atouches_tgeo_tgeo	ATOUCHES_TGEO_TGEO	COLLAPSE_REMOVE
TEMPORAL_AT_GEOMETRY	tgeo_at_geom	TGEO_AT_GEOM	RENAME
TEMPORAL_AT_MAX_EXP	temporal_at_max	TEMPORAL_AT_MAX	RENAME
TEMPORAL_AT_MIN_EXP	temporal_at_min	TEMPORAL_AT_MIN	RENAME
TEMPORAL_COPY_EXP	temporal_copy	TEMPORAL_COPY	RENAME
TEMPORAL_DERIVATIVE_EXP	temporal_derivative	TEMPORAL_DERIVATIVE	RENAME
TEMPORAL_ECONTAINS_GEOMETRY	econtains_tgeo_geo	ECONTAINS_TGEO_GEO	COLLAPSE_PROMOTE
TEMPORAL_ECONTAINS_TCBUFFER	econtains_tcbuffer_geo	ECONTAINS_TCBUFFER_GEO	RENAME
TEMPORAL_ECONTAINS_TCBUFFER_CBUFFER	econtains_tcbuffer_cbuffer	ECONTAINS_TCBUFFER_CBUFFER	RENAME
TEMPORAL_ECONTAINS_TGEOMETRY	econtains_tgeo_tgeo	ECONTAINS_TGEO_TGEO	COLLAPSE_PROMOTE
TEMPORAL_ECONTAINS_TNPOINT_GEOMETRY	econtains_tgeo_geo	ECONTAINS_TGEO_GEO	COLLAPSE_REMOVE
TEMPORAL_ECONTAINS_TNPOINT_TNPOINT	econtains_tgeo_tgeo	ECONTAINS_TGEO_TGEO	COLLAPSE_REMOVE
TEMPORAL_ECONTAINS_TPOSE_GEOMETRY	econtains_tgeo_geo	ECONTAINS_TGEO_GEO	COLLAPSE_REMOVE
TEMPORAL_ECONTAINS_TPOSE_TPOSE	econtains_tgeo_tgeo	ECONTAINS_TGEO_TGEO	COLLAPSE_REMOVE
TEMPORAL_ECOVERS_GEOMETRY	ecovers_tgeo_geo	ECOVERS_TGEO_GEO	COLLAPSE_PROMOTE
TEMPORAL_ECOVERS_TCBUFFER	ecovers_tcbuffer_geo	ECOVERS_TCBUFFER_GEO	RENAME
TEMPORAL_ECOVERS_TCBUFFER_CBUFFER	ecovers_tcbuffer_cbuffer	ECOVERS_TCBUFFER_CBUFFER	RENAME
TEMPORAL_ECOVERS_TCBUFFER_TCBUFFER	ecovers_tcbuffer_tcbuffer	ECOVERS_TCBUFFER_TCBUFFER	RENAME
TEMPORAL_ECOVERS_TGEOMETRY	ecovers_tgeo_tgeo	ECOVERS_TGEO_TGEO	COLLAPSE_PROMOTE
TEMPORAL_ECOVERS_TNPOINT_GEOMETRY	ecovers_tgeo_geo	ECOVERS_TGEO_GEO	COLLAPSE_REMOVE
TEMPORAL_ECOVERS_TNPOINT_TNPOINT	ecovers_tgeo_tgeo	ECOVERS_TGEO_TGEO	COLLAPSE_REMOVE
TEMPORAL_ECOVERS_TPOSE_GEOMETRY	ecovers_tgeo_geo	ECOVERS_TGEO_GEO	COLLAPSE_REMOVE
TEMPORAL_ECOVERS_TPOSE_TPOSE	ecovers_tgeo_tgeo	ECOVERS_TGEO_TGEO	COLLAPSE_REMOVE
TEMPORAL_EDISJOINT_GEOMETRY	edisjoint_tgeo_geo	EDISJOINT_TGEO_GEO	COLLAPSE_PROMOTE
TEMPORAL_EDISJOINT_TCBUFFER	edisjoint_tcbuffer_geo	EDISJOINT_TCBUFFER_GEO	RENAME
TEMPORAL_EDISJOINT_TCBUFFER_CBUFFER	edisjoint_tcbuffer_cbuffer	EDISJOINT_TCBUFFER_CBUFFER	RENAME
TEMPORAL_EDISJOINT_TGEOMETRY	edisjoint_tgeo_tgeo	EDISJOINT_TGEO_TGEO	COLLAPSE_PROMOTE
TEMPORAL_EDISJOINT_TNPOINT_GEOMETRY	edisjoint_tgeo_geo	EDISJOINT_TGEO_GEO	COLLAPSE_REMOVE
TEMPORAL_EDISJOINT_TNPOINT_TNPOINT	edisjoint_tgeo_tgeo	EDISJOINT_TGEO_TGEO	COLLAPSE_REMOVE
TEMPORAL_EDISJOINT_TPOSE_GEOMETRY	edisjoint_tgeo_geo	EDISJOINT_TGEO_GEO	COLLAPSE_REMOVE
TEMPORAL_EDISJOINT_TPOSE_TPOSE	edisjoint_tgeo_tgeo	EDISJOINT_TGEO_TGEO	COLLAPSE_REMOVE
TEMPORAL_EDWITHIN_TCBUFFER_CBUFFER	edwithin_tcbuffer_cbuffer	EDWITHIN_TCBUFFER_CBUFFER	RENAME
TEMPORAL_EDWITHIN_TCBUFFER_GEOMETRY	edwithin_tcbuffer_geo	EDWITHIN_TCBUFFER_GEO	RENAME
TEMPORAL_EDWITHIN_TCBUFFER_TCBUFFER	edwithin_tcbuffer_tcbuffer	EDWITHIN_TCBUFFER_TCBUFFER	RENAME
TEMPORAL_EDWITHIN_TGEOMETRY	edwithin_tgeo_tgeo	EDWITHIN_TGEO_TGEO	COLLAPSE_PROMOTE
TEMPORAL_EDWITHIN_TNPOINT_GEOMETRY	edwithin_tgeo_geo	EDWITHIN_TGEO_GEO	COLLAPSE_REMOVE
TEMPORAL_EDWITHIN_TNPOINT_TNPOINT	edwithin_tgeo_tgeo	EDWITHIN_TGEO_TGEO	COLLAPSE_REMOVE
TEMPORAL_EDWITHIN_TPOSE_GEOMETRY	edwithin_tgeo_geo	EDWITHIN_TGEO_GEO	COLLAPSE_REMOVE
TEMPORAL_EDWITHIN_TPOSE_TPOSE	edwithin_tgeo_tgeo	EDWITHIN_TGEO_TGEO	COLLAPSE_REMOVE
TEMPORAL_EINTERSECTS_GEOMETRY	eintersects_tgeo_geo	EINTERSECTS_TGEO_GEO	COLLAPSE_PROMOTE
TEMPORAL_EINTERSECTS_TCBUFFER	eintersects_tcbuffer_geo	EINTERSECTS_TCBUFFER_GEO	RENAME
TEMPORAL_EINTERSECTS_TCBUFFER_CBUFFER	eintersects_tcbuffer_cbuffer	EINTERSECTS_TCBUFFER_CBUFFER	RENAME
TEMPORAL_EINTERSECTS_TCBUFFER_TCBUFFER	eintersects_tcbuffer_tcbuffer	EINTERSECTS_TCBUFFER_TCBUFFER	RENAME
TEMPORAL_EINTERSECTS_TGEOMETRY	eintersects_tgeo_tgeo	EINTERSECTS_TGEO_TGEO	COLLAPSE_PROMOTE
TEMPORAL_EINTERSECTS_TNPOINT_GEOMETRY	eintersects_tgeo_geo	EINTERSECTS_TGEO_GEO	COLLAPSE_REMOVE
TEMPORAL_EINTERSECTS_TNPOINT_TNPOINT	eintersects_tgeo_tgeo	EINTERSECTS_TGEO_TGEO	COLLAPSE_REMOVE
TEMPORAL_EINTERSECTS_TPOSE_GEOMETRY	eintersects_tgeo_geo	EINTERSECTS_TGEO_GEO	COLLAPSE_REMOVE
TEMPORAL_EINTERSECTS_TPOSE_TPOSE	eintersects_tgeo_tgeo	EINTERSECTS_TGEO_TGEO	COLLAPSE_REMOVE
TEMPORAL_END_TIMESTAMP	temporal_end_timestamptz	TEMPORAL_END_TIMESTAMPTZ	RENAME
TEMPORAL_ETOUCHES_GEOMETRY	etouches_tgeo_geo	ETOUCHES_TGEO_GEO	COLLAPSE_PROMOTE
TEMPORAL_ETOUCHES_TCBUFFER	etouches_tcbuffer_geo	ETOUCHES_TCBUFFER_GEO	RENAME
TEMPORAL_ETOUCHES_TCBUFFER_CBUFFER	etouches_tcbuffer_cbuffer	ETOUCHES_TCBUFFER_CBUFFER	RENAME
TEMPORAL_ETOUCHES_TCBUFFER_TCBUFFER	etouches_tcbuffer_tcbuffer	ETOUCHES_TCBUFFER_TCBUFFER	RENAME
TEMPORAL_ETOUCHES_TGEOMETRY	etouches_tgeo_tgeo	ETOUCHES_TGEO_TGEO	COLLAPSE_PROMOTE
TEMPORAL_ETOUCHES_TNPOINT_GEOMETRY	etouches_tgeo_geo	ETOUCHES_TGEO_GEO	COLLAPSE_REMOVE
TEMPORAL_ETOUCHES_TNPOINT_TNPOINT	etouches_tgeo_tgeo	ETOUCHES_TGEO_TGEO	COLLAPSE_REMOVE
TEMPORAL_ETOUCHES_TPOSE_GEOMETRY	etouches_tgeo_geo	ETOUCHES_TGEO_GEO	COLLAPSE_REMOVE
TEMPORAL_ETOUCHES_TPOSE_TPOSE	etouches_tgeo_tgeo	ETOUCHES_TGEO_TGEO	COLLAPSE_REMOVE
TEMPORAL_LENGTH	tpoint_length	TPOINT_LENGTH	BENCHMARK_KEEP
TEMPORAL_MINUS_GEOMETRY	tgeo_minus_geom	TGEO_MINUS_GEOM	RENAME
TEMPORAL_MINUS_MAX_EXP	temporal_minus_max	TEMPORAL_MINUS_MAX	RENAME
TEMPORAL_MINUS_MIN_EXP	temporal_minus_min	TEMPORAL_MINUS_MIN	RENAME
TEMPORAL_NAD_FLOAT_SCALAR	nad_tfloat_float	NAD_TFLOAT_FLOAT	RENAME
TEMPORAL_NAD_GEOMETRY	nad_tgeo_geo	NAD_TGEO_GEO	RENAME
TEMPORAL_NAD_INT_SCALAR	nad_tint_int	NAD_TINT_INT	RENAME
TEMPORAL_NAD_TCBUFFER	nad_tcbuffer_geo	NAD_TCBUFFER_GEO	RENAME
TEMPORAL_NAD_TCBUFFER_CBUFFER	nad_tcbuffer_cbuffer	NAD_TCBUFFER_CBUFFER	RENAME
TEMPORAL_NAD_TCBUFFER_TCBUFFER	nad_tcbuffer_tcbuffer	NAD_TCBUFFER_TCBUFFER	RENAME
TEMPORAL_NAD_TFLOAT	nad_tfloat_tfloat	NAD_TFLOAT_TFLOAT	RENAME
TEMPORAL_NAD_TGEOMETRY	nad_tgeo_tgeo	NAD_TGEO_TGEO	RENAME
TEMPORAL_NAD_TINT	nad_tint_tint	NAD_TINT_TINT	RENAME
TEMPORAL_NAD_TNPOINT_GEOMETRY	nad_tnpoint_geo	NAD_TNPOINT_GEO	COLLAPSE_REMOVE
TEMPORAL_NAD_TNPOINT_TNPOINT	nad_tnpoint_tnpoint	NAD_TNPOINT_TNPOINT	COLLAPSE_REMOVE
TEMPORAL_NAD_TPOSE_GEOMETRY	nad_tpose_geo	NAD_TPOSE_GEO	COLLAPSE_REMOVE
TEMPORAL_NAD_TPOSE_TPOSE	nad_tpose_tpose	NAD_TPOSE_TPOSE	COLLAPSE_REMOVE
TEMPORAL_SEQUENCE	(constructor over event window)	TEMPORAL_SEQUENCE	BENCHMARK_KEEP
TEMPORAL_START_TIMESTAMP	temporal_start_timestamptz	TEMPORAL_START_TIMESTAMPTZ	RENAME
TEMPORAL_TFLOAT_AVG_VALUE	tnumber_avg_value	TNUMBER_AVG_VALUE	COLLAPSE_PROMOTE
TEMPORAL_TFLOAT_END_VALUE	tfloat_end_value	TFLOAT_END_VALUE	RENAME
TEMPORAL_TFLOAT_MAX_VALUE	tfloat_max_value	TFLOAT_MAX_VALUE	RENAME
TEMPORAL_TFLOAT_MIN_VALUE	tfloat_min_value	TFLOAT_MIN_VALUE	RENAME
TEMPORAL_TFLOAT_START_VALUE	tfloat_start_value	TFLOAT_START_VALUE	RENAME
TEMPORAL_TINT_AVG_VALUE	tnumber_avg_value	TNUMBER_AVG_VALUE	COLLAPSE_REMOVE
TEMPORAL_TINT_END_VALUE	tint_end_value	TINT_END_VALUE	RENAME
TEMPORAL_TINT_MAX_VALUE	tint_max_value	TINT_MAX_VALUE	RENAME
TEMPORAL_TINT_MIN_VALUE	tint_min_value	TINT_MIN_VALUE	RENAME
TEMPORAL_TINT_START_VALUE	tint_start_value	TINT_START_VALUE	RENAME
TEMPORAL_TNUMBER_INTEGRAL	tnumber_integral	TNUMBER_INTEGRAL	RENAME
TEMPORAL_TNUMBER_TWAVG	tnumber_twavg	TNUMBER_TWAVG	RENAME
TEMPORAL_TPOINT_IS_SIMPLE	tpoint_is_simple	TPOINT_IS_SIMPLE	RENAME
TGEOMPOINT_TO_TGEOMETRY_EXP	tgeompoint_to_tgeometry	TGEOMPOINT_TO_TGEOMETRY	RENAME
TGEO_CENTROID_EXP	tgeo_centroid	TGEO_CENTROID	RENAME
TGEO_CONVEX_HULL_EXP	tgeo_convex_hull	TGEO_CONVEX_HULL	RENAME
TGEO_END_VALUE_EXP	tgeo_end_value	TGEO_END_VALUE	RENAME
TGEO_START_VALUE_EXP	tgeo_start_value	TGEO_START_VALUE	RENAME
TIMESTAMPTZ_EXTENT	timestamptz_extent_transfn	TIMESTAMPTZ_EXTENT_TRANSFN	RENAME
TIMESTAMPTZ_UNION	timestamptz_union_transfn	TIMESTAMPTZ_UNION_TRANSFN	RENAME
TLENGTH_EXP	tnpoint_length	TNPOINT_LENGTH	COLLAPSE_REMOVE
TNPOINT_CUMULATIVE_LENGTH_EXP	tnpoint_cumulative_length	TNPOINT_CUMULATIVE_LENGTH	RENAME
TNPOINT_SPEED_EXP	tnpoint_speed	TNPOINT_SPEED	RENAME
TNPOINT_TO_TGEOMPOINT_EXP	tnpoint_to_tgeompoint	TNPOINT_TO_TGEOMPOINT	RENAME
TNUMBER_ABS_EXP	tnumber_abs	TNUMBER_ABS	RENAME
TNUMBER_ANGULAR_DIFFERENCE_EXP	tnumber_angular_difference	TNUMBER_ANGULAR_DIFFERENCE	RENAME
TNUMBER_DELTA_VALUE_EXP	tnumber_delta_value	TNUMBER_DELTA_VALUE	RENAME
TNUMBER_EXTENT	tnumber_extent_transfn	TNUMBER_EXTENT_TRANSFN	RENAME
TNUMBER_TREND_EXP	tnumber_trend	TNUMBER_TREND	RENAME
TPOINT_ANGULAR_DIFFERENCE_EXP	tpoint_angular_difference	TPOINT_ANGULAR_DIFFERENCE	RENAME
TPOINT_AZIMUTH_EXP	tpoint_azimuth	TPOINT_AZIMUTH	RENAME
TPOINT_CUMULATIVE_LENGTH_EXP	tpoint_cumulative_length	TPOINT_CUMULATIVE_LENGTH	RENAME
TPOINT_GET_X_EXP	tpoint_get_x	TPOINT_GET_X	RENAME
TPOINT_GET_Y_EXP	tpoint_get_y	TPOINT_GET_Y	RENAME
TPOINT_LENGTH_WKB	tpoint_length	TPOINT_LENGTH	COLLAPSE_PROMOTE
TPOINT_SPEED_EXP	tpoint_speed	TPOINT_SPEED	RENAME
TPOINT_TWCENTROID_EXP	tpoint_twcentroid	TPOINT_TWCENTROID	RENAME
TRAJECTORY_WKB	tpoint_trajectory	TPOINT_TRAJECTORY	RENAME
TSPATIAL_EXTENT	tspatial_extent_transfn	TSPATIAL_EXTENT_TRANSFN	RENAME
